date,temperature,rainfall,solar_rad,wind
20150101,-1.54,0.00,6.41,3.14
20150102,3.82,0.00,5.44,4.05
20150103,5.54,0.00,12.90,4.37
20150104,1.03,0.00,7.31,3.34
20150105,7.20,0.00,9.43,4.80
20150106,9.32,0.00,10.12,1.78
20150107,3.38,0.00,5.66,3.32
20150108,10.91,0.00,9.95,4.23
20150109,0.17,0.00,5.61,3.94
20150110,7.01,0.00,6.02,3.66
20150111,5.25,0.00,11.07,3.31
20150112,3.75,0.00,8.85,4.75
20150113,4.27,0.00,9.50,3.68
20150114,6.16,0.00,9.92,2.60
20150115,5.26,0.00,9.28,2.14
20150116,3.80,0.00,7.97,3.50
20150117,-2.45,0.00,10.24,2.25
20150118,6.74,0.00,7.11,2.30
20150119,4.21,0.00,6.86,3.22
20150120,10.71,0.00,7.43,3.79
20150121,3.37,0.00,5.54,4.22
20150122,2.03,0.00,7.07,4.70
20150123,7.35,0.00,9.05,3.87
20150124,7.98,0.00,9.98,3.34
20150125,3.04,0.00,7.50,3.76
20150126,3.57,0.00,9.20,4.46
20150127,3.51,0.00,9.34,4.18
20150128,5.49,0.00,13.37,5.30
20150101,4.37,0.00,10.54,4.18
20150102,10.66,0.00,10.02,2.75
20150103,1.68,0.00,12.25,3.70
20150204,5.23,0.00,10.10,3.95
20150205,0.61,0.00,9.27,2.25
20150206,11.66,0.00,9.71,1.86
20150207,6.43,0.00,12.55,4.24
20150208,2.30,0.00,5.00,2.73
20150209,10.50,0.00,10.85,3.37
20150210,-0.06,0.00,11.05,5.16
20150211,-2.95,0.00,11.91,4.35
20150212,2.38,0.00,10.90,2.37
20150213,1.06,0.00,9.03,2.52
20150214,5.82,0.00,10.97,3.48
20150215,3.50,0.00,13.37,3.35
20150216,6.03,0.00,13.72,4.67
20150217,8.12,0.00,11.93,3.58
20150218,12.23,0.00,12.74,3.37
20150219,12.27,0.00,12.34,4.16
20150220,2.29,0.00,11.40,3.24
20150221,2.76,0.00,12.26,2.81
20150222,8.13,0.00,14.36,3.62
20150223,3.52,0.00,7.45,2.67
20150224,10.49,4.59,15.34,3.68
20150225,11.34,0.00,10.95,4.96
20150226,2.92,0.00,11.56,2.67
20150227,5.81,0.00,14.51,3.45
20150228,9.62,0.00,10.97,4.48
20150201,3.57,0.00,10.73,3.70
20150202,5.17,0.00,11.12,3.14
20150203,15.43,0.00,17.12,2.94
20150204,4.22,0.00,12.35,5.16
20150205,12.55,0.00,14.56,5.87
20150306,12.47,0.00,11.77,2.49
20150307,10.22,0.00,15.79,2.46
20150308,11.80,0.00,13.03,3.59
20150309,5.40,0.00,9.28,3.66
20150310,19.95,0.00,13.99,1.51
20150311,7.25,0.00,12.01,3.37
20150312,9.05,0.00,14.61,3.88
20150313,15.59,0.00,13.23,4.81
20150314,15.87,0.00,15.82,4.23
20150315,14.95,0.00,12.04,3.13
20150316,3.02,0.00,18.82,4.08
20150317,14.86,0.00,12.87,2.33
20150318,12.22,0.00,13.76,4.54
20150319,5.38,0.00,14.15,3.30
20150320,11.64,0.00,15.70,3.27
20150321,13.80,0.00,15.94,3.62
20150322,9.96,0.00,14.48,4.76
20150323,0.35,0.00,12.31,3.02
20150324,10.33,0.00,17.30,1.77
20150325,9.89,0.00,13.60,3.77
20150326,14.82,0.00,12.60,5.00
